airbnb_id,zipcode,latitude,longitude,city,state,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,host_location,host_neighbourhood,market,smart_location,jurisdiction_names,country_code,country
5694572,60614,41.9218177036276,-87.64174974775854,Chicago,IL,"North Lincoln Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
7595047,60614,41.92423013769158,-87.66705443510575,Chicago,IL,"West Fullerton Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
1844662,60614,41.91845798696866,-87.63920012520356,Chicago,IL,"West Armitage Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7710110,60614,41.9323231721943,-87.65058141432037,Chicago,IL,"North Mildred Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7972224,60614,41.91155088972608,-87.63798672340947,Chicago,IL,"West Concord Place, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
6104431,60614,41.919924062063835,-87.64693278899018,Chicago,IL,"North Burling Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4285800,60614,41.91199027364698,-87.63923385742734,Chicago,IL,"West Concord Place, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
929914,60614,41.9131611067301,-87.63813123480122,Chicago,IL,"North Sedgwick Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
7021274,60614,41.91532814004977,-87.637181246965,Chicago,IL,"West Wisconsin Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
8643280,60614,41.914351780311435,-87.6380869639203,Chicago,IL,"North Sedgwick Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
25269,60614,41.914226296141905,-87.63846121515834,Chicago,IL,"N Sedgwick St, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Wrigleyville,Chicago,"Chicago, IL",CHICAGO,US,United States
4235965,60614,41.92792756749268,-87.66965222241289,Chicago,IL,"North Marshfield Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4235827,60614,41.93113524613854,-87.65101272659501,Chicago,IL,"North Mildred Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6499060,60614,41.912326618011676,-87.6355794045151,Chicago,IL,"N North Park Ave, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
7872808,60614,41.919634432813815,-87.65301416649802,Chicago,IL,"North Sheffield Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,US,Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6120375,60614,41.91688850372332,-87.65601221790313,Chicago,IL,"North Seminary Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
