airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
7805379,34410566,2015-05-28,60,1,0.82,FALSE,2,2,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,1,bed,NA,120,NA,NA,NA,NA,1,0,1,1125,TRUE,28,58,88,363,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,14
7395368,15106812,2014-05-04,60,1,1,FALSE,2,2,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,1,bed,NA,89,NA,NA,NA,NA,1,0,1,1125,TRUE,17,47,77,352,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,21
3267902,2676165,2012-06-18,60,1,1,TRUE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,3,1,1,2,bed,NA,92,615,1950,150,45,2,15,2,1125,TRUE,2,30,60,335,2015-10-03,58,2014-06-13,2015-09-27,98,10,10,10,10,9,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3.64,0
7576896,39726714,2015-07-27,1440,0.8,0.8,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,couch,NA,30,100,NA,NA,NA,1,0,1,1125,TRUE,22,51,78,353,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,1
482486,2388819,2012-05-16,60,1,1,FALSE,2,2,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,60,352,1620,NA,NA,4,0,1,30,TRUE,9,23,48,323,2015-10-03,210,2012-05-29,2015-09-18,94,10,10,10,9,9,10,TRUE,NA,TRUE,strict,FALSE,FALSE,2,5.15,1
1989842,10202754,2013-11-23,720,1,1,TRUE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,75,NA,NA,NA,10,2,0,1,1125,TRUE,18,40,66,66,2015-10-03,22,2015-03-22,2015-09-27,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,3.37,1
7775225,30146856,2015-03-28,60,1,0,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,3,1,1,1,bed,NA,96,NA,NA,NA,NA,1,0,1,1125,TRUE,3,3,3,95,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,21
7509887,38862601,2015-07-18,720,1,0.82,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,3,1,1,2,bed,NA,80,NA,NA,NA,NA,1,0,1,1125,TRUE,0,0,0,30,2015-10-02,1,2015-08-11,2015-08-11,80,8,10,10,8,8,8,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.56,14
4347659,22568853,2014-10-15,60,0.95,0.91,TRUE,2,2,TRUE,TRUE,TRUE,house,private_room,2,1,1,1,bed,NA,56,380,1197,NA,NA,1,0,2,31,TRUE,12,41,71,346,2015-10-02,36,2014-10-22,2015-09-21,96,10,9,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,3.11,0
6952617,16232883,2014-06-01,60,1,0.9,FALSE,3,3,TRUE,TRUE,TRUE,apartment,private_room,3,1,1,1,bed,NA,100,NA,NA,100,20,1,20,1,30,TRUE,28,57,87,177,2015-10-02,7,2015-07-03,2015-08-16,100,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,2,2.26,21
